#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
256,"HOLD YOU - Camden Cox Remix","Angrybaby,Camden Cox",39,133,"stutter house","stutter house","HOLD YOU (Camden Cox Remix)",2023-07-28,03:05,57,98,5,80,18,0,50,-6,C♯/D♭ Major,4,2024-01-18,5zLYT3Tp6GHABZr4eUJGFQ,"TH3RD BRAIN",3B,https://p.scdn.co/mp3-preview/a5d7063645b73950177d4f095e1114cb700e2b0b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a03c70b469a126f622b055ea
257,"HOLD YOU - Camden Cox Remix","Angrybaby,Camden Cox",39,133,"stutter house","stutter house","HOLD YOU (Camden Cox Remix)",2023-07-28,03:05,57,98,5,80,18,0,50,-6,C♯/D♭ Major,4,2024-01-18,5zLYT3Tp6GHABZr4eUJGFQ,"TH3RD BRAIN",3B,https://p.scdn.co/mp3-preview/a5d7063645b73950177d4f095e1114cb700e2b0b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a03c70b469a126f622b055ea
258,"HOLD YOU - Camden Cox Remix","Angrybaby,Camden Cox",39,133,"stutter house","stutter house","HOLD YOU (Camden Cox Remix)",2023-07-28,03:05,57,98,5,80,18,0,50,-6,C♯/D♭ Major,4,2024-01-18,5zLYT3Tp6GHABZr4eUJGFQ,"TH3RD BRAIN",3B,https://p.scdn.co/mp3-preview/a5d7063645b73950177d4f095e1114cb700e2b0b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a03c70b469a126f622b055ea
259,"HOLD YOU - Camden Cox Remix","Angrybaby,Camden Cox",39,133,"stutter house","stutter house","HOLD YOU (Camden Cox Remix)",2023-07-28,03:05,57,98,5,80,18,0,50,-6,C♯/D♭ Major,4,2024-01-18,5zLYT3Tp6GHABZr4eUJGFQ,"TH3RD BRAIN",3B,https://p.scdn.co/mp3-preview/a5d7063645b73950177d4f095e1114cb700e2b0b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a03c70b469a126f622b055ea
260,"HOLD YOU - Camden Cox Remix","Angrybaby,Camden Cox",39,133,"stutter house","stutter house","HOLD YOU (Camden Cox Remix)",2023-07-28,03:05,57,98,5,80,18,0,50,-6,C♯/D♭ Major,4,2024-01-18,5zLYT3Tp6GHABZr4eUJGFQ,"TH3RD BRAIN",3B,https://p.scdn.co/mp3-preview/a5d7063645b73950177d4f095e1114cb700e2b0b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a03c70b469a126f622b055ea
261,"HOLD YOU - Camden Cox Remix","Angrybaby,Camden Cox",39,133,"stutter house","stutter house","HOLD YOU (Camden Cox Remix)",2023-07-28,03:05,57,98,5,80,18,0,50,-6,C♯/D♭ Major,4,2024-01-18,5zLYT3Tp6GHABZr4eUJGFQ,"TH3RD BRAIN",3B,https://p.scdn.co/mp3-preview/a5d7063645b73950177d4f095e1114cb700e2b0b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a03c70b469a126f622b055ea
262,"HOLD YOU - Camden Cox Remix","Angrybaby,Camden Cox",39,133,"stutter house","stutter house","HOLD YOU (Camden Cox Remix)",2023-07-28,03:05,57,98,5,80,18,0,50,-6,C♯/D♭ Major,4,2024-01-18,5zLYT3Tp6GHABZr4eUJGFQ,"TH3RD BRAIN",3B,https://p.scdn.co/mp3-preview/a5d7063645b73950177d4f095e1114cb700e2b0b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a03c70b469a126f622b055ea
263,"Wait For The Moment","Vandelux,BUZZ",32,79,"stutter house, ","stutter house, ","When The Light Breaks",2023-09-15,02:57,21,65,14,0,11,0,10,-6,A Minor,3,2024-01-18,19A29rc3pWoBLSRKZ5GwHa,"TH3RD BRAIN",8A,https://p.scdn.co/mp3-preview/f199f08df604434a5facc3f00eb55fc6729a213b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851601463279811a8b9be5408c8
264,"Wait For The Moment","Vandelux,BUZZ",32,79,"stutter house, ","stutter house, ","When The Light Breaks",2023-09-15,02:57,21,65,14,0,11,0,10,-6,A Minor,3,2024-01-18,19A29rc3pWoBLSRKZ5GwHa,"TH3RD BRAIN",8A,https://p.scdn.co/mp3-preview/f199f08df604434a5facc3f00eb55fc6729a213b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851601463279811a8b9be5408c8
265,"Wait For The Moment","Vandelux,BUZZ",32,79,"stutter house, ","stutter house, ","When The Light Breaks",2023-09-15,02:57,21,65,14,0,11,0,10,-6,A Minor,3,2024-01-18,19A29rc3pWoBLSRKZ5GwHa,"TH3RD BRAIN",8A,https://p.scdn.co/mp3-preview/f199f08df604434a5facc3f00eb55fc6729a213b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851601463279811a8b9be5408c8
266,"Wait For The Moment","Vandelux,BUZZ",32,79,"stutter house, ","stutter house, ","When The Light Breaks",2023-09-15,02:57,21,65,14,0,11,0,10,-6,A Minor,3,2024-01-18,19A29rc3pWoBLSRKZ5GwHa,"TH3RD BRAIN",8A,https://p.scdn.co/mp3-preview/f199f08df604434a5facc3f00eb55fc6729a213b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851601463279811a8b9be5408c8
267,"Wait For The Moment","Vandelux,BUZZ",32,79,"stutter house, ","stutter house, ","When The Light Breaks",2023-09-15,02:57,21,65,14,0,11,0,10,-6,A Minor,3,2024-01-18,19A29rc3pWoBLSRKZ5GwHa,"TH3RD BRAIN",8A,https://p.scdn.co/mp3-preview/f199f08df604434a5facc3f00eb55fc6729a213b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851601463279811a8b9be5408c8
268,"Wait For The Moment","Vandelux,BUZZ",32,79,"stutter house, ","stutter house, ","When The Light Breaks",2023-09-15,02:57,21,65,14,0,11,0,10,-6,A Minor,3,2024-01-18,19A29rc3pWoBLSRKZ5GwHa,"TH3RD BRAIN",8A,https://p.scdn.co/mp3-preview/f199f08df604434a5facc3f00eb55fc6729a213b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851601463279811a8b9be5408c8
269,"Save Me","Kaskade,Lauren L'aimant",41,120,"edm, electro house, pop dance, progressive electro house, progressive house, vocal house, melodic house","edm, electro house, pop dance, progressive electro house, progressive house, vocal house, melodic house","REDUX 006",2023-10-27,03:36,67,95,0,65,13,0,20,-5,C♯/D♭ Minor,4,2024-01-18,45D4hvX8XnIA5rtrxSFZMe,"Arkade",12A,https://p.scdn.co/mp3-preview/a8d65d2a37b841ef68637fe342bfea5003448d2b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851336aea94d7ff4c56b5170d9f
270,"I Need You - Chill Mix","Elderbrook",36,128,"uk dance","uk dance","Chill Mixes",2023-09-01,03:15,48,43,85,4,5,0,0,-13,A Minor,4,2024-01-18,0D8a9vDIJSnhOzoXWkeePe,"Mine Recordings",8A,https://p.scdn.co/mp3-preview/71207ce4bdd725b64fa54f284b75df77a1c2dec5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485124de2a7f4c0891fb7226fe5a
271,"Save Me","Kaskade,Lauren L'aimant",41,120,"edm, electro house, pop dance, progressive electro house, progressive house, vocal house, melodic house","edm, electro house, pop dance, progressive electro house, progressive house, vocal house, melodic house","REDUX 006",2023-10-27,03:36,67,95,0,65,13,0,20,-5,C♯/D♭ Minor,4,2024-01-18,45D4hvX8XnIA5rtrxSFZMe,"Arkade",12A,https://p.scdn.co/mp3-preview/a8d65d2a37b841ef68637fe342bfea5003448d2b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851336aea94d7ff4c56b5170d9f
272,"Accelerate - Paraleven Remix","Set Mo,Paraleven",20,126,"aussietronica, melodic house","Electronic","Flux (Remixes)",2023-10-27,06:26,54,96,1,94,18,0,20,-8,E Minor,4,2024-01-18,1PMsjIqyDO8v0Txrgk1OB4,"High Vibrations Recordings Pty Ltd",9A,https://p.scdn.co/mp3-preview/a2557997448a068a290ec3238d795ecc28ef2af1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485101728b0649e5df0f2d65ba70
273,"Happy Here","Boehm",36,122,"deep tropical house","Electronic","Happy Here",2023-07-07,03:29,72,74,1,12,54,0,20,-10,G#/A♭ Minor,4,2024-01-18,5GmUzvlP7IHdPvGhO8L5Tk,"TH3RD BRAIN",1A,https://p.scdn.co/mp3-preview/c1ed0868696b4bda35f3be9006020f6849218a43?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d93788676dff68ba947fdb8c
274,"I Need You - Chill Mix","Elderbrook",36,128,"uk dance","uk dance","Chill Mixes",2023-09-01,03:15,48,43,85,4,5,0,0,-13,A Minor,4,2024-01-18,0D8a9vDIJSnhOzoXWkeePe,"Mine Recordings",8A,https://p.scdn.co/mp3-preview/71207ce4bdd725b64fa54f284b75df77a1c2dec5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485124de2a7f4c0891fb7226fe5a
275,"I Need You - Chill Mix","Elderbrook",36,128,"uk dance","uk dance","Chill Mixes",2023-09-01,03:15,48,43,85,4,5,0,0,-13,A Minor,4,2024-01-18,0D8a9vDIJSnhOzoXWkeePe,"Mine Recordings",8A,https://p.scdn.co/mp3-preview/71207ce4bdd725b64fa54f284b75df77a1c2dec5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485124de2a7f4c0891fb7226fe5a
276,"Ceviz Ağacı","Cem Karaca",59,136,"anadolu rock, karadeniz turkuleri, turkish psych, turkish rock","Rock, Pop","Merhaba Gençler",1987-00-00,05:49,56,90,48,0,92,10,30,-9,A Minor,4,2024-01-18,7pxLdHzMSmGlp7GTpO3b1j,"EMRE GRAFSON MÜZİK",8A,https://p.scdn.co/mp3-preview/59424b3eb9baae5ee350a14a0a115a7f921693b7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b874641c4382c44c72042f52
277,"La Isla Bonita","Madonna",65,100,"dance pop, pop","Pop","Celebration (double disc version)",2009-09-18,04:02,71,83,39,0,97,0,0,-5,C♯/D♭ Minor,4,2024-01-18,2Iib2MV3ECFJAourgP9dlY,"Warner Records",12A,https://p.scdn.co/mp3-preview/b011478042db01d9f9b34e9855b566561f6ff143?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511fc9fd5d701ee05cb39b7b19
278,"La La La","Naughty Boy,Sam Smith",77,125,"uk contemporary r&b, pop, uk pop","Pop, R&B","Hotel Cabana (Deluxe Version)",2013-01-01,03:42,77,65,11,0,26,0,0,-5,F#/G♭ Minor,4,2024-01-18,3wPPWcVuinAU7dXcJXtCID,"Virgin Records Ltd",11A,,https://i.scdn.co/image/ab67616d00004851fafb4022c8ca1c4498e10b19
279,"Bir Derdim Var","mor ve ötesi",74,119,"turkish alternative, turkish alternative rock, turkish rock","Pop, Rock","Dünya Yalan Söylüyor",2004-04-16,03:24,59,89,1,1,43,0,10,-2,B Minor,4,2024-01-18,5UV2oqgMXvlkOvvtK3aT7f,"RAKUN MÜZİK FİLM",10A,https://p.scdn.co/mp3-preview/eeec3ac5fa6da47ecce4259a590f53d3a6d48640?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485161cd6f5ad7c69b76adbc5419
280,"Oyunbozan","mor ve ötesi",66,131,"turkish alternative, turkish alternative rock, turkish rock","Pop, Rock","Güneşi Beklerken",2012-12-17,04:37,49,87,0,1,63,0,10,-5,B Minor,4,2024-01-18,5DbtYgRjkUIapSm2Ilr81D,"RAKUN MÜZİK FİLM",10A,https://p.scdn.co/mp3-preview/3881ed43753ee6dc2f8e869dae43226d59c77bf8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517da7e8530ec24f3755115ca0
281,"We Found Love","Rihanna,Calvin Harris",87,128,"barbadian pop, pop, urban contemporary, dance pop, edm, electro house, house, pop dance, progressive house, uk dance","Pop, Electronic, Hip Hop","Talk That Talk",2011-11-18,03:35,73,77,3,0,60,0,10,-4,C♯/D♭ Major,4,2024-01-18,6qn9YLKt13AGvpq9jfO8py,"Def Jam Recordings",3B,,https://i.scdn.co/image/ab67616d00004851bef074de9ca825bddaeb9f46
282,"Outside (feat. Ellie Goulding)","Calvin Harris,Ellie Goulding",85,128,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance, indietronica, metropopolis, uk pop","Pop, Electronic","Motion",2014-10-31,03:47,65,82,21,0,42,0,30,-4,D Minor,4,2024-01-18,7MmG8p0F9N3C4AXdK6o6Eb,"Columbia",7A,https://p.scdn.co/mp3-preview/258a571c0ae04c58dad7ff59c49b0bd39cb1986b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851063c048e9ef6bd021b744756
283,"Call Out My Name","The Weeknd",88,134,"canadian contemporary r&b, canadian pop, pop","R&B, Pop","My Dear Melancholy,",2018-03-30,03:48,46,59,17,0,18,0,30,-5,C♯/D♭ Major,3,2024-01-18,09mEdoA6zrmBPgTEN5qXmN,"Universal Republic Records",3B,,https://i.scdn.co/image/ab67616d000048511f6a2a40bb692936879db730
284,"We Held On","Ali Bakgor,onebit.,Beacon Bloom",30,120,"turkish deep house, turkish edm, ","Electronic","We Held On",2023-09-08,03:48,61,89,0,45,3,0,10,-8,A#/B♭ Major,4,2024-01-18,2ZXqlmUk0mjmipdbbTjZcO,"Ultra Records, LLC",6B,https://p.scdn.co/mp3-preview/65123f61bac0f1ae6781e2b044a1b1c64e3e0746?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510861dd13c4da8a63f7faffae
285,"Fly Away","Vandelux,Tyler Mann",43,121,"stutter house, ","Electronic","When The Light Breaks",2023-09-15,03:27,68,73,2,1,32,0,10,-7,D#/E♭ Major,4,2024-01-18,2M1XGpSDyYd1Vo8p0knM3W,"TH3RD BRAIN",5B,https://p.scdn.co/mp3-preview/703a88c87edb3732bd71ef85de579a70f94ce3d5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851601463279811a8b9be5408c8
286,"Prisoner of Love","The Undercover Dream Lovers",39,115,"","","It's All in Your Head",2020-02-27,03:48,64,83,34,31,79,0,30,-5,D#/E♭ Minor,4,2024-01-18,3rw35DxZ6K0g41iGTluhGX,"The Undercover Dream Lovers",2A,https://p.scdn.co/mp3-preview/8bd5719f550b1a7a4838ece49093caa4fa262c01?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c74a2fe2b1ea4959c549f0a7
287,"Shut up My Moms Calling","Hotel Ugly",90,138,"modern indie pop","Pop","Shut up My Moms Calling",2020-02-10,02:44,49,41,33,0,38,10,10,-11,A Minor,4,2024-01-18,3hxIUxnT27p5WcmjGUXNwx,"Hotel Ugly, under exclusive license to Amuseio AB",8A,https://p.scdn.co/mp3-preview/7642409265c74b714a2f0f0dd8663c031e253485?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851350ab7a839c04bfd5225a9f5
288,"2 DOGS 1 LEASH","Noah Guy",25,130,"","","2 DOGS 1 LEASH",2022-07-29,02:42,75,54,56,2,41,0,10,-9,C♯/D♭ Major,4,2024-01-18,3fyoU0LaGw1yqxK2bbWcOJ,"10K Projects",3B,,https://i.scdn.co/image/ab67616d00004851ad03f67d6fcdc6e6ab5b37fc
289,"New Person, Same Old Mistakes","Tame Impala",82,152,"australian psych, modern rock, neo-psychedelic, rock","Metal, Rock, Folk/Acoustic","Currents",2015-07-17,06:03,47,81,27,1,49,0,0,-7,G#/A♭ Major,4,2024-01-18,52ojopYMUzeNcudsoz7O9D,"Universal Music Australia Pty. Ltd.",4B,,https://i.scdn.co/image/ab67616d000048519e1cfc756886ac782e363d79
290,"Another Night","Two Another",51,90,"indie soul","R&B","Another Night",2020-01-19,04:11,66,33,19,2,37,0,40,-8,A Minor,4,2024-01-18,5jzjDJEQR1tMdX5ipOGlGZ,"Two Another",8A,,https://i.scdn.co/image/ab67616d0000485120caeba703ad4517c0a8b9e5
291,"Self-Discovery","Ash",36,106,"arab electronic","Electronic","Self-Discovery",2023-08-11,07:28,60,55,8,68,20,0,0,-9,E Minor,4,2024-01-18,36VSzklqOcWrnbamLHkyGF,"Ash",9A,https://p.scdn.co/mp3-preview/ab27bf7fef11904f6700ea70900ab18b0828769a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513cb9048cfe6035bd60ec3109
292,"Confidence of Equals","Isaac Chambers",32,80,"","","Planet Fruition",2017-01-01,05:11,89,29,5,0,61,40,0,-11,E Minor,4,2024-01-18,4p0DbgG90RRgWlc1wZwf9Q,"Jumpsuit Records, Inc.",9A,https://p.scdn.co/mp3-preview/dc66014a956cc45e7b903905b6abb754f90779dd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485141fdab3813f64d5ab5067416
293,"Confidence of Equals","Isaac Chambers",32,80,"","","Planet Fruition",2017-01-01,05:11,89,29,5,0,61,40,0,-11,E Minor,4,2024-01-18,4p0DbgG90RRgWlc1wZwf9Q,"Jumpsuit Records, Inc.",9A,https://p.scdn.co/mp3-preview/dc66014a956cc45e7b903905b6abb754f90779dd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485141fdab3813f64d5ab5067416
294,"Who Loves The Sun - Depart Acoustica","Nu,Depart",43,127,"organic electronic, ","Electronic","Who Loves The Sun (Depart Acoustica)",2021-06-10,04:18,89,40,39,4,40,0,10,-11,A#/B♭ Minor,4,2024-01-18,1qxWKxApUYHPuQ596k61aK,"NU",3A,https://p.scdn.co/mp3-preview/7d56b228dc7cf46184cfc4d4881551bb272e37a2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514c281aae2e1ab6a1d1f67a2d
295,"Demeanor (feat. Dua Lipa)","Pop Smoke,Dua Lipa",60,100,"brooklyn drill, rap, dance pop, pop, uk pop","Hip Hop, Pop","Faith",2021-07-16,03:04,69,59,37,0,73,10,10,-7,D#/E♭ Minor,4,2024-01-18,2e1mzGPBHmdtZR3RRknaXz,"Victor Victor Worldwide",2A,,https://i.scdn.co/image/ab67616d00004851d5d1c0ff8a73c374763ecda2
296,"Invincible","Pop Smoke",80,143,"brooklyn drill, rap","Hip Hop","Meet The Woo 2",2020-02-07,02:07,55,73,13,0,61,30,20,-6,B Minor,4,2024-01-18,792HwhrdO3ErRKL5yRe4Ge,"Victor Victor Worldwide",10A,,https://i.scdn.co/image/ab67616d0000485162a57823eced1cb4fd93b2c1
297,"Duy Sesimi","Duhan Demirci,Kaan Arslan",33,120,"","","Duy Sesimi",2022-03-18,02:54,79,29,51,2,40,10,0,-14,F#/G♭ Minor,4,2024-01-18,104YH2h7OtypkVgBAjcS6O,"AVRUPA MÜZİK YAPIM",11A,https://p.scdn.co/mp3-preview/581951e3de3f1a7ad7c8d7c963d254f3d817c65f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851759cb8b9ee2dc972adbc94e8
298,"Overnight","Parcels",72,120,"aussietronica, indie soul","Electronic, R&B","Overnight",2017-06-21,03:39,82,82,36,6,86,0,10,-9,G#/A♭ Minor,4,2024-01-18,0hhXziDUO0wNYPsstDQWN6,"Because Music",1A,https://p.scdn.co/mp3-preview/623790911cb9b38bb8e64cb74456fd9cf8bf56b3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cb0697945af18f523fa11217
299,"Seni Gördüm Rüyamda - Akustik","Canozan,Şenceylik",43,97,"turkish alt pop, turkish alternative rock, turkish rock","Pop, Rock","Seni Gördüm Rüyamda (Akustik)",2020-02-07,03:29,63,46,50,0,73,0,20,-10,C Minor,4,2024-01-18,5VHRTBkCD1Xk8IKqUNnxKP,"AVRUPA MÜZİK YAPIM",5A,https://p.scdn.co/mp3-preview/eb20efcc0ba998f20e0d995009960cebf7fd75a5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d5d6500e3a635f78fae66ed2
300,"Fragile","Sting",67,82,"permanent wave, soft rock, sophisti-pop","Rock, Pop","...Nothing Like The Sun",1987-01-01,03:56,32,20,91,7,29,0,0,-21,E Minor,4,2024-01-18,5oE6INocVL9viDow5y8QNM,"A&M",9A,,https://i.scdn.co/image/ab67616d00004851d0c7c131a979c9e5436f89ce
301,"Cigarette Daydreams","Cage The Elephant",82,114,"modern alternative rock, modern rock, pov: indie, punk blues, rock","Rock, Pop, Blues","Melophobia",2013-10-08,03:28,64,68,8,0,27,0,0,-3,D Major,4,2024-01-18,2tznHmp70DxMyr2XhWLOW0,"RCA Records Label",10B,https://p.scdn.co/mp3-preview/a7a72315d777f4ed078d955238f9db158c915fc1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fb1cb900d28642e668d77b12
302,"En Su Lugar","Malóne,Kimonos",65,124,"","","En Su Lugar",2019-08-09,02:25,80,59,3,74,27,0,0,-10,C♯/D♭ Minor,4,2024-01-18,5VptLoXeYwekTyaKeK5DBo,"Witty Tunes",12A,https://p.scdn.co/mp3-preview/4019fc5ab289883707fda624871e284f54b9d4bd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511390a0762320b5a25a08d16a
303,"No Coke","Dr. Alban",37,97,"eurodance, europop, hip house","Pop, Electronic","Hello Afrika",1991-02-18,06:41,83,72,10,0,64,0,10,-14,C Major,4,2024-01-18,4KvN4AOTLyqXytmERRTp8c,"BMG Rights Management GmbH",8B,,https://i.scdn.co/image/ab67616d000048516434a119f5e5dd73d57b6070
304,"Someone You Loved","Lewis Capaldi",91,110,"pop, uk pop","Pop","Divinely Uninspired To A Hellish Extent",2019-05-17,03:02,50,41,75,0,45,0,10,-6,C♯/D♭ Major,4,2024-01-18,7qEHsqek33rTcFNT9PFqLf,"Vertigo Berlin",3B,,https://i.scdn.co/image/ab67616d00004851fc2101e6889d6ce9025f85f2
305,"Love Tonight (Robin Schulz Remix)","Shouse,Robin Schulz",66,123,"aussietronica, deep euro house, deep house, edm, german dance, pop dance, tropical house","Electronic","Love Tonight (Robin Schulz Remix)",2021-09-03,03:04,52,79,3,0,23,0,30,-8,C Minor,4,2024-01-18,0J07ya7WC09FaQADutoBRZ,"Hell Beach",5A,https://p.scdn.co/mp3-preview/54aae29fe00349c3e17a42e3d053192a3fa412db?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519612bc49541808bf30fe7772
306,"COULD BE WRONG","LOSTBOYJAY",71,129,"","","COULD BE WRONG",2022-12-02,03:06,89,77,2,0,86,10,20,-8,C Major,4,2024-01-18,5zuex7tbGFz0gSHlrMvQdu,"Polydor Records",8B,,https://i.scdn.co/image/ab67616d00004851a4dcf918ee0da38ca4068ca7
307,"COULD BE WRONG","LOSTBOYJAY",71,129,"","","COULD BE WRONG",2022-12-02,03:06,89,77,2,0,86,10,20,-8,C Major,4,2024-01-18,5zuex7tbGFz0gSHlrMvQdu,"Polydor Records",8B,,https://i.scdn.co/image/ab67616d00004851a4dcf918ee0da38ca4068ca7
308,"All That She Wants","Ace of Base",79,94,"eurodance, europop, new wave pop","Pop","The Sign",1993-12-24,03:31,80,63,1,0,86,0,10,-10,B Major,4,2024-01-18,6kWJvPfC4DgUpRsXKNa9z9,"Playground Music",1B,https://p.scdn.co/mp3-preview/eef43d18f73d83ff358852d874dd564f55e86932?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fda5556cb6981c3113df6175
309,"Özgür","Aksan",40,120,"new school turkce rap, turkish hip hop","Hip Hop","Özgür",2021-03-12,03:18,77,51,56,2,7,0,10,-9,G Minor,4,2024-01-18,3gxURJOQjemF0PKAQKb1jG,"M.O.B. Entertainment",6A,https://p.scdn.co/mp3-preview/06b040976c875bcd2f6ad4bce2dd08eddb31db81?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851402a0b444b9ea1e40caf53da
