#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview,duration_ms,release_year
28,Antidepresan,"Mert Demir,Mabel Matiz",72,100,"turkish alt pop, turkish pop",Pop,Antidepresan,2022-11-04,04:00,70,59,3,0,92,0,10,-10,B Minor,4,2024-01-18,4OH5Cd8ZOI1eSgJSC9PYmU,Pale Records & Pose Records,10A,https://p.scdn.co/mp3-preview/e6d85974d4027dd1662b9e07586a8abcbf8fb77a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516a4753885f8de374c6ff1240,240125,2022
29,ELMAS,"Luciano,Lil Zey",55,140,"german drill, german hip hop, turkce kadin rap, turkish hip hop, turkish trap","Latin, Hip Hop",ELMAS,2021-05-06,03:04,79,43,64,0,38,10,10,-7,A#/B♭ Minor,4,2024-01-18,37yAd2kwEI9axbB6UznrOQ,URBAN,3A,,https://i.scdn.co/image/ab67616d000048518865a626051f895a335debb0,184900,2021
30,Kalbin bana kaldı,"ALIZADE,BEGE",66,95,"zhenskiy rep, turkce drill, turkish hip hop, turkish trap",Hip Hop,Kalbin bana kaldı,2022-07-29,02:24,77,62,7,0,49,0,10,-9,C♯/D♭ Minor,4,2024-01-18,55Tf67DiltMLjOY6A25s3J,New Wave,12A,https://p.scdn.co/mp3-preview/543a60d9713fbfa5f1e85b84513ecaf2a6c27c9d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515230dc06772e01276806a5e4,144000,2022
31,Unutulanlar,Farazi,62,182,turkish hip hop,Hip Hop,Hayalet Islığı (Instrumentals),2013-09-13,03:20,42,67,0,63,21,0,30,-10,A Minor,4,2024-01-18,62W7rkJbA0cyOb3ZTTN3aE,Deadly Habits Music / Below System Records,8A,https://p.scdn.co/mp3-preview/4a777d08a31b77cadbc75b0b3478014e8a5e1935?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851807a5384120b502d9ee0e08c,212160,2015
32,Son Bakış,Sezen Aksu,65,97,turkish pop,Pop,Sezen Aksu Söylüyor,1989-07-07,05:52,56,35,54,0,39,0,10,-17,C Minor,3,2024-01-18,28CDZ57gYDikYi2KZ7cznW,SN Music,5A,https://p.scdn.co/mp3-preview/55536745504f2a8d9c0d21fb3fba82e188995e23?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485193793f9086704ef2cbc6c34e,352773,1989
33,GECELERİN DERDİ,BEGE,63,125,"turkce drill, turkish hip hop, turkish trap",Hip Hop,BEGEFENDİ,2021-01-29,02:37,75,58,12,0,44,0,10,-7,E Minor,4,2024-01-18,36xr9L4RjXM5I0gjiQ6uTh,BEGE,9A,https://p.scdn.co/mp3-preview/7cb0b926097fe8efdda3cddcf4862d51dabe45a9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d5fab2ce79b5ad8861565b46,157220,2021
34,MINI TERORISTA,Jeff Redd,80,100,new school turkce rap,Hip Hop,MINI TERORISTA,2023-11-10,02:14,78,51,11,0,43,0,10,-12,G#/A♭ Minor,4,2024-01-18,6kvf06eThDCrvYknMY32To,OSC ENM.,1A,https://p.scdn.co/mp3-preview/5256bf4a9c764e16ceb209498cac65556c819e70?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513ae2b72dd639bbe51dcf63c8,134400,2023
35,FESTİVAL,"Ati242,Organize",56,141,"turkish hip hop, turkce drill",Hip Hop,FESTİVAL,2022-04-01,02:32,81,83,24,0,48,10,10,-8,G Major,4,2024-01-18,7jQri0CCEkeOGt7fedmmsu,PMC,9B,https://p.scdn.co/mp3-preview/d977304d88d1f07bcbb647b1d6c9ecabb32f49f7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517587ab954faedb553a1cb752,152497,2022
36,Melek,Reynmen,58,180,"turkish hip hop, turkish pop","Hip Hop, Pop",Melek,2020-12-06,02:34,57,64,15,0,28,0,20,-5,B Major,4,2024-01-18,6XbuJHhqugUVdJbTdshUEL,Houze Istanbul,1B,https://p.scdn.co/mp3-preview/f2d4c34bd0a4e1b2d4d9bc9c06d35b0278b50a44?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851de8511490826466264d58c48,154923,2020
37,Gamzedeyim Deva Bulmam,"Dedublüman,Çağrı Çelik",67,125,"turkce slow sarkilar, ",Pop,Gamzedeyim Deva Bulmam,2020-02-01,05:16,47,44,4,38,27,0,10,-11,E Minor,4,2024-01-18,6glvSyTo1y4WLtX0mnDq83,Dedublüman House,9A,https://p.scdn.co/mp3-preview/16ab406e506193a3a9bdcd97c0650c798aabf560?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fe1ca04a42d2bb8410387812,316800,2020
38,Bodrum,Yüzyüzeyken Konuşuruz,64,90,"turkish alternative rock, turkish rock",Rock,Akustik Travma,2018-02-23,03:55,54,46,56,88,32,0,10,-12,A Minor,4,2024-01-18,7DarbtpxRUG5POF3ifwu61,SONY MUSIC TURKEY,8A,https://p.scdn.co/mp3-preview/66cb8c56ebefa85c2233839ccdfd390fe24fdca6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512de642b64eadaeff4697f156,235817,2018
39,Beyaz Skandalım,Emir Can İğrek,68,90,turkish alt pop,turkish alt pop,Ağır Roman,2018-11-07,03:35,44,66,28,0,77,0,20,-8,D Minor,4,2024-01-18,7gI0722sWUhVpI0xOpejmZ,Hypers,7A,https://p.scdn.co/mp3-preview/eb98c5377dc342df0ce84610b701a730242df31d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512a4cb84689db2c6c6f4a4856,215488,2018
40,Kül,"Cem Adrian,Mark Eliyahu",68,176,"turkish rock, turkish singer-songwriter, turkish instrumental","World/Traditional, Rock, Pop",Kül,2021-01-16,04:54,33,44,63,0,21,0,10,-10,A#/B♭ Minor,4,2024-01-18,5NPg92vbjaGk4q9mh7MMEM,SONY MUSIC TURKEY,3A,https://p.scdn.co/mp3-preview/f6767937bd8f17e8882dab73c7f1dd9afd9462a9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851dbb4dc951a34acd9f7523ca3,294532,2021
41,Kadınım,Yüksek Sadakat,40,107,"turkish pop, turkish rock","Pop, Rock",Uzay Heparı Sonsuza,2008-12-13,05:30,59,56,54,0,24,0,10,-7,C Minor,4,2024-01-18,2D6OE3CZXDRfsOHQx7XnHJ,ANADOLU TUR REKLAM,5A,https://p.scdn.co/mp3-preview/732245f8371816a77d8b289dcc51644f3a0f324f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e1e4a09e033e9127bf009f74,330160,2008
42,Sür Eve,Güneş,50,105,turkce kadin rap,Hip Hop,Sür Eve,2021-12-10,03:00,76,65,31,0,25,0,20,-5,G Minor,4,2024-01-18,5PZvJT8hrwmhQB3iU7oqHz,M.O.B. Entertainment,6A,https://p.scdn.co/mp3-preview/a8e19654fd3189a5751ad1b88ab5d7cfff6cedb9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ddaa0ff4350e147fefffcd8d,180147,2021
43,Детство,Rauf & Faik,70,150,russian pop,Pop,Я люблю тебя,2018-09-28,03:08,72,61,64,0,48,0,10,-7,A#/B♭ Minor,4,2024-01-18,5snCfoQbJ7S4cYB0K8XuJ4,Atlantic Records Russia (Distribution),3A,https://p.scdn.co/mp3-preview/d67a7ccd5369f263f61d5f1d2b02aba397562d24?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516631d6c1af6973fbd055bc58,188362,2018
44,lovely (with Khalid),"Billie Eilish,Khalid",91,115,"art pop, pop, pop r&b","Pop, R&B",lovely (with Khalid),2018-04-19,03:20,35,30,93,0,12,0,10,-10,E Minor,4,2024-01-18,0u2P5u6lvoDfwTYjAADbn4,Darkroom,9A,,https://i.scdn.co/image/ab67616d000048518a3f0a3ca7929dea23cd274c,200185,2018
45,Peygamber Sabrı,"Lil Zey,GOKO!",55,144,"turkce kadin rap, turkish hip hop, turkish trap, new school turkce rap",Hip Hop,Kara Tiyatro,2021-05-28,03:11,66,56,3,0,27,0,10,-6,E Minor,4,2024-01-18,3GFRJgMAPKeYJ717UeB0zp,EMI - Kent Elektronik Sanayi ve Ticaret A.S.,9A,,https://i.scdn.co/image/ab67616d000048517723d08b2179a80fdc4fc31e,191624,2021
46,Dancin (feat. Luvli) - Krono Remix,"Aaron Smith,Krono,Luvli",79,120,"chicago house, ",Electronic,Dancin (feat. Luvli) [Krono Remix],2014-11-07,03:18,72,74,10,0,36,0,20,-7,A#/B♭ Minor,4,2024-01-18,6WkJ2OK163XXS2oARUC9JM,Sony Music Entertainment,3A,https://p.scdn.co/mp3-preview/96554d5eb7ca8f02d0e07955b2c33fdd7874e2ca?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f7a3a5656060030a0d24855c,198053,2014
47,Toz Taneleri,Sagopa Kajmer,62,174,"turkish hip hop, turkish trap",Hip Hop,Sarkastik,2019-11-29,04:29,63,73,3,0,46,10,0,-7,G Major,4,2024-01-18,36ulbeGLdspdIYSFKXIlmN,Melankolia Müzik,9B,https://p.scdn.co/mp3-preview/2df261d4b9052fbeea3809f36f8def55a6f710da?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f998280a6846bd73bdb3bc55,269002,2019
48,Eskisi Gibi,"Lil Zey,Kozmos",63,130,"turkce kadin rap, turkish hip hop, turkish trap",Hip Hop,Eskisi Gibi,2020-07-10,03:06,80,59,63,1,67,10,0,-7,C♯/D♭ Minor,4,2024-01-18,44a3EWRqHiOJEGzWgaX8dd,EMI - Kent Elektronik Sanayi ve Ticaret A.S.,12A,,https://i.scdn.co/image/ab67616d0000485110e25ac1457f3d4f5a681f44,186461,2020
49,Hollywood's Bleeding,Post Malone,79,130,"dfw rap, melodic rap, pop, rap","Hip Hop, Pop",Hollywood's Bleeding,2019-09-06,02:36,41,65,33,0,17,0,10,-3,E Minor,4,2024-01-18,7sWRlDoTDX8geTR8zzr2vt,Republic Records,9A,,https://i.scdn.co/image/ab67616d000048519478c87599550dd73bfa7e02,156266,2019
50,Yalnız Çiçek,"Aleyna Tilki,Emrah Karaduman",54,108,"turkish pop, turkish deep house","Electronic, Pop","Yıldız Tilbe'nin Yıldızlı Şarkıları, Vol. 1",2018-05-21,03:46,74,84,4,0,41,0,30,-5,F#/G♭ Major,4,2024-01-18,7rzH1EcSFh33M6BnQ8YzDX,ÖZDEMİR PLAK,2B,https://p.scdn.co/mp3-preview/c87fc4bcdc4e8a56d67b7bc57ce11ee809b19c32?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c71eb8a3bc3b33409fc83297,226825,2018
